componentName,componentType,changeType,changedBy,deploymentId,changedAt,oldValue,newValue
Controller,ADDED,REMOVED,user_1,2,2026-05-27T10:30:00,v0,v1
Repository,MODIFIED,REMOVED,user_2,1,2026-05-27T10:30:00,v0,v1
Service,ADDED,REMOVED,user_3,1,2026-05-27T10:30:00,v0,v1
Validator,ADDED,UPDATED,user_4,3,2026-05-27T10:30:00,v0,v1
Security,DELETED,UPDATED,user_5,1,2026-05-27T10:30:00,v0,v1
Logger,ADDED,UPDATED,user_6,3,2026-05-27T10:30:00,v0,v1
Service,DELETED,UPDATED,user_7,2,2026-05-27T10:30:00,v0,v1
API,ADDED,UPDATED,user_8,2,2026-05-27T10:30:00,v0,v1
Service,MODIFIED,REMOVED,user_9,3,2026-05-27T10:30:00,v0,v1
Validator,ADDED,UPDATED,user_10,1,2026-05-27T10:30:00,v0,v1
API,DELETED,CREATED,user_11,2,2026-05-27T10:30:00,v0,v1
Config,MODIFIED,UPDATED,user_12,2,2026-05-27T10:30:00,v0,v1
Cache,DELETED,CREATED,user_13,3,2026-05-27T10:30:00,v0,v1
Validator,MODIFIED,REMOVED,user_14,3,2026-05-27T10:30:00,v0,v1
Controller,MODIFIED,UPDATED,user_15,2,2026-05-27T10:30:00,v0,v1
Cache,ADDED,CREATED,user_16,2,2026-05-27T10:30:00,v0,v1
Config,ADDED,CREATED,user_17,2,2026-05-27T10:30:00,v0,v1
Security,ADDED,REMOVED,user_18,1,2026-05-27T10:30:00,v0,v1
Security,MODIFIED,CREATED,user_19,3,2026-05-27T10:30:00,v0,v1
Validator,ADDED,CREATED,user_20,1,2026-05-27T10:30:00,v0,v1
Logger,MODIFIED,REMOVED,user_21,2,2026-05-27T10:30:00,v0,v1
API,ADDED,UPDATED,user_22,3,2026-05-27T10:30:00,v0,v1
Service,DELETED,REMOVED,user_23,3,2026-05-27T10:30:00,v0,v1
API,MODIFIED,REMOVED,user_24,1,2026-05-27T10:30:00,v0,v1
Controller,ADDED,UPDATED,user_25,2,2026-05-27T10:30:00,v0,v1
Controller,ADDED,REMOVED,user_26,3,2026-05-27T10:30:00,v0,v1
Cache,ADDED,UPDATED,user_27,3,2026-05-27T10:30:00,v0,v1
