componentName,componentType,changeType,changedBy,deploymentId,changedAt,oldValue,newValue
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:00:00,v1.0,v1.1
api_endpoint,API,ADDED,developer,1,2026-05-26T08:01:00,,/api/v2/users
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:02:00,redis_1,redis_2
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:03:00,v1.1,v1.2
api_endpoint,API,ADDED,developer,1,2026-05-26T08:04:00,,/api/v2/deployments
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:05:00,redis_2,redis_3
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:06:00,v1.2,v1.3
api_endpoint,API,ADDED,developer,1,2026-05-26T08:07:00,,/api/v2/releases
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:08:00,redis_3,redis_4
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:09:00,v1.3,v1.4
api_endpoint,API,ADDED,developer,1,2026-05-26T08:10:00,,/api/v2/metadata
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:11:00,redis_4,redis_5
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:12:00,v1.4,v1.5
api_endpoint,API,ADDED,developer,1,2026-05-26T08:13:00,,/api/v2/audit
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:14:00,redis_5,redis_6
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:15:00,v1.5,v1.6
api_endpoint,API,ADDED,developer,1,2026-05-26T08:16:00,,/api/v2/logs
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:17:00,redis_6,redis_7
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:18:00,v1.6,v1.7
api_endpoint,API,ADDED,developer,1,2026-05-26T08:19:00,,/api/v2/health
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:20:00,redis_7,redis_8
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:21:00,v1.7,v1.8
api_endpoint,API,ADDED,developer,1,2026-05-26T08:22:00,,/api/v2/metrics
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:23:00,redis_8,redis_9
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:24:00,v1.8,v1.9
api_endpoint,API,ADDED,developer,1,2026-05-26T08:25:00,,/api/v2/alerts
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:26:00,redis_9,redis_10
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:27:00,v1.9,v2.0
api_endpoint,API,ADDED,developer,1,2026-05-26T08:28:00,,/api/v2/events
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:29:00,redis_10,redis_11
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:30:00,v2.0,v2.1
api_endpoint,API,ADDED,developer,1,2026-05-26T08:31:00,,/api/v2/notifications
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:32:00,redis_11,redis_12
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:33:00,v2.1,v2.2
api_endpoint,API,ADDED,developer,1,2026-05-26T08:34:00,,/api/v2/webhooks
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:35:00,redis_12,redis_13
database_schema,DATABASE,MODIFIED,admin,1,2026-05-26T08:36:00,v2.2,v2.3
api_endpoint,API,ADDED,developer,1,2026-05-26T08:37:00,,/api/v2/webhooks/test
cache_config,CONFIG,MODIFIED,admin,1,2026-05-26T08:38:00,redis_13,redis_14
